ID,CL,VC,KA
1,0.356336,9.39422,1.52638
2,0.433441,11.98,0.802983
3,0.682175,10.9108,0.85723800000000006
4,0.724799,12.3304,1.47688
5,0.480416,9.53737,0.87013
6,0.484477,12.9131,1.14777
7,0.708761,14.1458,0.4923
8,0.284714,7.86766,0.925004
9,0.75721,13.7569,0.766391
10,0.646086,10.2908,1.45002
11,0.412018,9.56059,0.756936
12,0.783494,11.4841,1.13081
13,0.630296,17.2926,0.71156
14,0.371869,8.98921,1.02932
15,0.3735,10.8502,1.38576
16,0.428019,10.5605,1.52716
17,0.321249,18.6358,0.756841
18,0.573983,15.5456,1.70496
19,0.788326,16.888,1.22718
20,0.519757,9.50619,1.24379
21,0.311481,11.9246,0.626777
22,0.438352,10.1293,0.938403
23,0.351242,10.1149,1.23495
24,0.571254,11.472,0.66627
