ID,CL,VC,Q,VP,KA,auc_t1_t2,c_max,t_max,t_half_alpha,t_half_terminal
1,0.356336,15.657,6.10552,34.6753,1.06239,97.1328,5.09058,1.56444,1.19117,100.652
2,0.401492,24.3542,3.14837,34.2895,1.4496,84.7645,4.38506,1.77078,3.00032,105.793
3,0.437991,27.1166,3.84332,31.6807,0.87013,81.0015,3.98896,2.46416,2.54838,96.2156
4,0.484477,21.5218,4.59107,56.7009,1.0276,66.5507,3.66867,1.89465,2.22919,118.246
5,0.24615,8.99038,3.22671,37.0002,1.51442,120.733,7.45188,1.25036,1.47983,135.976
6,0.484227,15.4724,5.16869,30.2459,1.45002,85.1822,4.86174,1.31854,1.31758,68.1821
7,0.412018,15.9343,3.02775,62.6795,0.783506,71.4781,4.12618,2.29882,2.67252,143.931
8,0.565403,25.9755,5.38639,28.4624,0.743738,72.4554,3.5934,2.45385,1.69769,68.7022
9,0.415144,19.0644,2.988,40.7023,1.38576,165.04,9.16497,1.68784,2.82451,106.407
10,0.428019,17.6008,6.10864,25.6999,1.96079,188.326,10.239,1.0852,1.15634,71.8823
11,0.378421,20.3029,4.99542,68.1986,1.57665,136.854,7.91126,1.36989,2.07627,169.494
12,0.595092,25.868,4.15806,30.5017,1.24379,138.416,7.3219900000000004,1.82397,2.23631,68.5061
13,0.311481,19.8743,2.50711,35.0682,0.880308,197.045,9.98584,2.4954,3.33365,128.627
14,0.469201,14.1067,3.8727,49.3981,1.14251,150.354,9.17547,1.60891,1.82738,100.829
15,0.449154,13.206,4.16566,29.4149,1.53146,183.085,10.8897,1.28182,1.4409,69.2273
16,0.43006,30.8818,3.81146,31.478,1.75219,159.006,7.96483,1.59001,2.75351,103.479
17,0.37903,18.8746,3.83853,39.8094,1.46532,348.298,19.0549,1.53723,2.20957,112.297
18,0.474816,16.7617,3.18839,52.5747,1.39281,286.41,17.3679,1.57746,2.53997,110.109
19,0.622904,16.8392,2.56693,32.0004,0.869278,278.775,16.2225,2.24921,2.68505,60.3031
20,0.612407,20.8378,4.13344,47.5319,0.676381,250.909,13.5849,2.48972,2.26244,83.0919
21,0.383252,19.7189,2.85419,38.6275,1.32997,347.497,18.7762,1.80306,2.9893,111.916
22,0.318369,19.5106,1.86345,40.0632,1.10388,374.438,19.6438,2.28243,4.51879,140.087
23,0.331059,11.0614,4.50919,58.8092,0.836289,333.363,19.8312,1.67905,1.35977,153.97
24,0.853217,22.5334,4.09243,31.2374,1.66273,216.071,13.1786,1.4,2.06469,46.9091
