ID,CL,VC,Q,VP,KA,auc_t1_t2,c_max,t_max,t_half_alpha,t_half_terminal
1,0.544473,19.8031,5.53893,41.2663,0.660661,70.6102,3.6673,2.30498,1.60119,81.308
2,0.366144,13.7509,2.95223,29.071,0.622811,102.96,5.37934,2.586,2.07036,85.8214
3,0.678627,20.7785,3.39138,45.2588,0.871174,59.6517,3.40784,2.24077,2.65118,74.0492
4,0.539492,10.6851,3.8828,29.9985,1.79134,81.7446,5.59037,1.08848,1.30536,56.3207
5,0.651759,19.9176,4.78744,34.5344,0.535591,65.6757,3.40525,2.75068,1.73121,61.1786
6,0.391975,16.4348,3.31461,48.2395,1.06829,81.3383,4.61223,1.86818,2.40205,122.052
7,0.73553,22.8047,2.47958,43.6042,0.739804,56.2797,3.15051,2.73182,3.685,71.0864
8,0.912847,26.8049,5.46338,41.4039,1.22764,48.5025,2.79792,1.69188,1.94023,55.1054
9,0.466684,15.3634,3.71477,38.041,1.52703,163.382,9.74691,1.4072,1.91679,84.5008
10,0.900366,29.163,6.57823,30.2162,0.517605,101.632,5.08945,3.01119,1.50842,47.3886
11,0.57519,34.9026,4.1626,53.95,1.34464,114.904,5.96483,1.89969,3.35259,112.705
12,0.45886,24.1632,4.28264,25.1297,1.64973,171.39,8.86511,1.49493,1.93833,76.5901
13,0.502224,25.2338,3.06693,30.7028,0.806271,153.612,7.76206,2.61947,2.97751,81.1628
14,0.51167,19.9078,5.27777,45.6946,1.07539,141.703,7.79619,1.73149,1.73777,93.1335
15,1.012,33.4407,3.11987,37.7922,1.26994,88.5387,4.99868,1.99111,3.58811,53.5976
16,0.299021,22.5294,2.9986,26.0137,0.693263,214.592,10.2247,2.94118,2.71126,115.828
17,0.524316,30.5147,3.10708,42.473,1.86558,266.04,14.0337,1.54333,3.73909,102.226
18,0.405319,24.3694,4.0279,41.6356,0.842958,316.408,15.9467,2.36844,2.54123,117.501
19,0.607973,31.5624,2.2306,42.6611,1.2985,243.438,12.7657,2.12396,5.14406,92.7346
20,0.554348,26.6325,4.58591,58.9908,0.497309,237.456,11.9079,3.2157,2.61929,113.359
21,0.499639,26.2975,5.88129,24.26,1.56815,322.777,16.3904,1.48529,1.45809,71.5394
22,0.481367,17.4636,3.70847,47.208,1.87266,294.536,17.8641,1.25786,2.22503,99.723
23,0.913,16.8662,5.35833,62.2648,1.14314,184.449,12.5809,1.48032,1.54902,66.5815
24,0.536881,14.7232,5.25183,29.1312,0.914074,322.068,17.8655,1.73164,1.23391,59.2296
