ID,CL,VC,Q1,VP1,Q2,VP2,auc_t1_t2,t_half_alpha,t_half_beta,t_half_terminal,t_max,c_max
1,3.79425,9.51548,1.55501,5.26633,0.169266,1.92613,197.667,0.988328,3.85829,8.44065,20,9.56874
2,3.29922,8.39026,1.36975,10.9132,0.12184,2.0338,227.324,1.12804,8.06128,12.3863,20,10.3345
3,2.76476,4.13194,2.15201,6.81891,0.0875421,4.29903,270.923,0.506804,4.33972,35.2122,20,12.9337
4,2.58908,4.25912,2.34802,8.06377,0.104111,4.07387,289.45,0.518233,5.00796,28.3669,20,13.5386
5,1.96632,6.61971,2.55769,8.77244,0.099566,2.48848,381.355,0.780546,6.61753,18.6064,20,16.6667
6,2.44451,7.97874,1.94441,5.28378,0.0770943,2.83784,306.661,0.890325,4.61578,26.4576,20,14.4295
7,3.4007,5.89772,2.49353,7.30404,0.18624,2.54111,294.057,0.577162,3.9219,10.1976,20,14.110900000000001
8,2.29481,4.29136,1.5938,8.98922,0.107407,2.74008,435.702,0.6855,6.95728,18.7886,20,19.6794
9,2.18554,3.06284,1.41087,7.9337,0.112277,2.17223,457.541,0.538868,6.54137,14.4044,20,20.9833
10,3.07593,4.8549,2.07829,8.93169,0.0767346,3.06585,324.942,0.586094,5.40767,28.4767,20,15.336
11,1.03439,2.82778,2.72006,8.58864,0.115198,2.66841,966.203,0.431634,8.02312,19.2279,20,37.5736
12,1.90302,5.29929,2.25137,7.71659,0.07678,4.88394,523.516,0.707995,6.19727,46.081,20,23.4835
13,1.98886,3.61123,1.31644,6.69096,0.121723,1.44632,754.2,0.668225,5.8608,9.32452,20,34.8207
14,1.6092,5.52608,2.26369,9.80528,0.103835,2.66435,931.806,0.797854,8.11857,19.6231,20,38.402
15,4.35844,9.9362,1.83193,12.7847,0.105674,1.69939,344.159,1.01396,7.22837,11.6255,20,15.9774
16,3.39379,5.08422,1.45635,9.36501,0.093488,2.51703,441.944,0.676696,6.61671,19.291,20,20.7336
17,2.79952,3.5868,1.96534,9.90185,0.101058,1.53286,535.805,0.479622,6.09935,11.1463,20,24.9758
18,1.58399,2.79996,1.57102,12.9545,0.101927,3.92374,945.119,0.565552,11.3607,29.0836,20,37.7681
19,2.41358,3.2404,2.08934,6.17939,0.173776,2.25886,1035.81,0.428805,4.02433,9.96087,20,49.3165
20,2.80005,5.42045,2.48513,10.1511,0.134285,2.71563,892.811,0.614474,5.78815,14.9731,20,41.0019
21,3.84369,5.9231,1.52732,5.69902,0.179887,3.75674,650.399,0.67335,3.88848,15.2735,20,31.3753
22,2.53641,7.67118,1.78162,6.87767,0.14206,2.60851,985.624,0.969559,5.34443,13.7781,20,45.3701
23,3.0583,3.66053,1.69777,9.89698,0.0749069,2.84745,817.114,0.500223,6.51845,27.0888,20,38.1741
24,2.49102,5.14926,2.09599,11.5356,0.157685,4.32604,1003.26,0.68514,7.34915,20.6433,20,43.9931
25,3.14944,4.82789,1.98436,9.29489,0.0664345,2.44107,1269.69,0.592808,5.68168,26.0868,20,59.9226
26,2.21096,3.7557,4.2069,10.9037,0.0869257,3.8313,1806.81,0.346576,5.83355,31.9642,20,81.5854
27,2.33227,4.3788,1.92942,6.27757,0.0944212,2.37279,1714.9,0.599972,4.65953,18.2866,20,81.0064
28,2.46921,5.45123,2.53621,6.20251,0.132235,2.67852,1619.9,0.583566,4.15514,15.02,20,76.5136
29,2.33807,4.66266,3.23303,6.00652,0.126408,3.85699,1710.18,0.438539,3.81758,22.4876,20,80.7841
30,2.71224,4.02972,1.83185,4.9412,0.120068,3.53946,1474.47,0.519875,3.52779,21.4523,20,70.931
