ID,CL,VC,Q1,VP1,Q2,VP2,auc_t1_t2,t_half_alpha,t_half_beta,t_half_terminal,t_max,c_max
1,2.16512,5.75319,1.46158,5.76727,0.118876,5.06082,345.859,0.894263,5.30127,31.3567,20,15.8927
2,2.60579,4.46939,2.15331,8.23593,0.0651955,2.31106,287.729,0.571789,5.35575,25.2888,20,13.5273
3,2.72364,5.19932,1.37109,5.91327,0.181966,5.84253,275.202,0.75879,4.84241,23.9586,20,12.8217
4,1.47783,3.52856,2.00065,6.22504,0.238519,2.4824,507.501,0.552602,4.75254,9.80464,20,22.346
5,3.46942,4.19046,1.63537,7.52678,0.103055,2.38609,216.167,0.524921,4.91384,16.618,20,10.3779
6,3.15017,3.94059,2.45786,6.9457700000000004,0.171302,3.18895,238.079,0.422719,3.76437,13.7723,20,11.4222
7,2.13838,4.27076,1.52767,10.3214,0.19745,3.05268,467.631,0.712987,7.62253,12.7836,20,20.2899
8,3.26832,4.64479,2.02178,4.92495,0.139616,4.36178,305.883,0.510321,3.11262,22.6749,20,14.7962
9,1.92733,3.58843,2.24121,5.14021,0.095994,2.6476,518.748,0.476042,4.06777,20.2549,20,24.5241
10,2.76809,4.28103,2.40982,6.22185,0.105899,1.44044,361.259,0.480605,3.78522,9.94272,20,17.4838
11,2.79998,5.60087,1.68678,11.1885,0.0759297,4.17078,356.549,0.789992,7.82943,39.2413,20,16.0937
12,1.77562,3.18902,2.08916,4.33804,0.0886128,2.08879,563.14,0.450425,3.75016,17.3314,20,26.8352
13,3.69217,4.02467,2.31572,7.75854,0.0991876,2.04223,406.259,0.421202,4.03544,14.7328,20,19.7201
14,1.73366,4.3847,1.55072,11.238,0.0885162,3.46986,863.975,0.825717,9.98695,29.0156,20,35.7657
15,2.44441,5.561,2.09414,8.62102,0.0773179,1.86015,613.607,0.723155,5.96761,17.3877,20,28.2571
16,1.37173,2.37811,1.98961,8.73514,0.075062,3.06086,1091.75,0.437089,7.82949,30.2039,20,46.4397
17,2.9578,2.9649,1.57068,6.51379,0.182776,3.28444,507.127,0.412611,4.49485,13.4138,20,24.16
18,2.17506,4.31558,2.1369,6.13512,0.0806044,3.33433,689.028,0.569649,4.6112,29.8753,20,32.4465
19,2.19639,4.46271,1.43208,13.2109,0.0642343,2.74622,1137.09,0.793681,10.9378,30.7412,20,48.4882
20,2.25085,2.49715,1.03765,12.8771,0.151043,3.34693,1110.43,0.493455,11.8329,17.3999,20,47.6528
21,2.90361,4.10535,1.9321,5.16878,0.10211,2.87436,860.883,0.502816,3.47603,20.2873,20,41.7004
22,2.14822,4.04686,1.42184,6.1977,0.133795,3.95022,1163.3,0.680541,5.39487,21.9909,20,53.6154
23,2.22695,4.58931,2.04781,7.58149,0.0723509,3.24254,1121.43,0.633667,5.57797,32.2167,20,51.9236
24,3.38138,3.67035,2.0894,12.4945,0.0856067,3.71067,738.821,0.438281,6.91653,30.9092,20,34.1657
25,3.32966,5.41443,1.67824,9.19645,0.101973,5.08849,1199.72,0.684727,6.04858,35.7541,20,56.1614
26,2.695,3.4057,2.49125,9.46642,0.0738846,2.31975,1483.93,0.41241,5.41707,22.4744,20,69.6489
27,2.42643,3.91781,1.09011,9.92563,0.10206899999999999,3.86157,1647.17,0.721801,9.31152,27.5595,20,73.5162
28,3.66427,6.48636,2.01651,8.39595,0.0776231,4.29608,1090.31,0.701667,4.93368,39.241,20,52.1056
29,3.10965,4.78348,3.53351,8.776,0.103824,3.33476,1285.97,0.420232,4.20523,23.1252,20,61.3086
30,3.28179,6.64317,1.30297,11.2403,0.0624664,4.35134,1216.37,0.941291,8.73197,49.2864,20,55.6314
